step;food;water;danger
0;0;0;0
1;0;0;0
6;0;0;0
12;0;0;0
17;0;0;0
21;0;0;0
26;0;0;0
30;0;0;0
35;0;0;0
40;0;0;5
44;1;0;9
49;2;0;21
53;5;0;34
58;9;0;40
62;10;0;42
66;10;0;43
70;11;0;45
74;12;0;45
77;12;0;47
80;12;0;47
84;12;0;48
88;12;0;48
92;12;0;48
96;12;0;48
100;12;0;48
104;12;0;49
108;12;0;54
112;13;1;57
116;13;1;62
120;15;3;64
124;15;4;68
126;16;6;72
129;17;6;77
132;17;9;79
136;18;12;85
139;18;16;88
143;20;21;91
146;21;28;97
150;21;31;97
153;22;33;100
156;23;33;107
159;25;36;108
162;25;36;114
165;25;37;116
168;29;40;117
171;29;41;122
174;33;41;124
177;35;42;127
180;35;47;129
183;36;50;137
186;36;50;140
189;39;53;142
193;40;56;144
196;41;57;145
200;45;57;151
204;48;57;157
207;49;59;159
210;53;64;159
213;53;66;162
216;53;67;167
219;53;68;168
222;56;72;169
225;56;74;170
228;60;77;171
231;61;84;174
234;62;86;179
237;63;89;181
240;64;91;182
243;64;94;184
245;64;94;187
247;66;95;190
249;66;95;192
251;66;96;197
253;68;99;198
255;69;99;202
257;70;100;202
259;70;105;205
261;71;105;206
263;73;109;209
265;74;109;209
267;74;110;210
269;74;110;213
270;74;111;213
